,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
2044,MRNA,netIncomeFromContinuingOps,3333000000,2780000000,1221000000,-272485000
2045,MRNA,netIncomeApplicableToCommonShares,3333000000,2780000000,1221000000,-272485000
2046,MRO,researchDevelopment,,,,
2047,MRO,effectOfAccountingCharges,,,,
2048,MRO,incomeBeforeTax,188000000,26000000,107000000,-341000000
2049,MRO,minorityInterest,,,,
2050,MRO,netIncome,184000000,16000000,97000000,-338000000
2051,MRO,sellingGeneralAdministrative,70000000,69000000,75000000,57000000
2052,MRO,grossProfit,1089000000,966000000,907000000,530000000
2053,MRO,ebit,254000000,54000000,87000000,-215000000
2054,MRO,operatingIncome,254000000,54000000,87000000,-215000000
2055,MRO,otherOperatingExpenses,167000000,240000000,227000000,70000000
2056,MRO,interestExpense,-57000000,-59000000,-13000000,-72000000
2057,MRO,extraordinaryItems,,,,
2058,MRO,nonRecurring,,,,
2059,MRO,otherItems,,,,
2060,MRO,incomeTaxExpense,4000000,10000000,10000000,-3000000
2061,MRO,totalRevenue,1439000000,1259000000,1180000000,831000000
2062,MRO,totalOperatingExpenses,1185000000,1205000000,1093000000,1046000000
2063,MRO,costOfRevenue,350000000,293000000,273000000,301000000
2064,MRO,totalOtherIncomeExpenseNet,-66000000,-28000000,20000000,-126000000
2065,MRO,discontinuedOperations,,,,
2066,MRO,netIncomeFromContinuingOps,184000000,16000000,97000000,-338000000
2067,MRO,netIncomeApplicableToCommonShares,184000000,16000000,97000000,-338000000
2068,MTD,researchDevelopment,42276000,42603000,39272000,39866000
2069,MTD,effectOfAccountingCharges,,,,
2070,MTD,incomeBeforeTax,247587000,230384000,185414000,269180000
2071,MTD,minorityInterest,,,,
2072,MTD,netIncome,203688000,184763000,149663000,216295000
2073,MTD,sellingGeneralAdministrative,238229000,236538000,219215000,223208000
2074,MTD,grossProfit,555820000,536904000,471696000,559044000
2075,MTD,ebit,259276000,241545000,199325000,281313000
2076,MTD,operatingIncome,259276000,241545000,199325000,281313000
2077,MTD,otherOperatingExpenses,,,,
2078,MTD,interestExpense,-11791000,-10439000,-9471000,-9505000
2079,MTD,extraordinaryItems,,,,
2080,MTD,nonRecurring,,,,
2081,MTD,otherItems,,,,
2082,MTD,incomeTaxExpense,43899000,45621000,35751000,52885000
2083,MTD,totalRevenue,951950000,924351000,804390000,937985000
2084,MTD,totalOperatingExpenses,692674000,682806000,605065000,656672000
2085,MTD,costOfRevenue,396130000,387447000,332694000,378941000
2086,MTD,totalOtherIncomeExpenseNet,-11689000,-11161000,-13911000,-12133000
2087,MTD,discontinuedOperations,,,,
2088,MTD,netIncomeFromContinuingOps,203688000,184763000,149663000,216295000
2089,MTD,netIncomeApplicableToCommonShares,203688000,184763000,149663000,216295000
2090,NCLH,researchDevelopment,,,,
2091,NCLH,effectOfAccountingCharges,,,,
2092,NCLH,incomeBeforeTax,-845591000,-716862000,-1368464000,-707409000
2093,NCLH,minorityInterest,,,,
2094,NCLH,netIncome,-845885000,-717789000,-1370192000,-738933000
2095,NCLH,sellingGeneralAdministrative,229142000,185483000,203293000,186666000
2096,NCLH,grossProfit,-286675000,-245359000,-197755000,-197413000
2097,NCLH,ebit,-689106000,-605104000,-571364000,-546982000
2098,NCLH,operatingIncome,-689106000,-605104000,-571364000,-546982000
2099,NCLH,otherOperatingExpenses,,,,
2100,NCLH,interestExpense,-157643000,-157614000,-150422000,-159205000
2101,NCLH,extraordinaryItems,,,,
2102,NCLH,nonRecurring,,,,
2103,NCLH,otherItems,,,,
2104,NCLH,incomeTaxExpense,294000,927000,1728000,31524000
2105,NCLH,totalRevenue,153081000,4368000,3100000,9579000
2106,NCLH,totalOperatingExpenses,842187000,609472000,574464000,556561000
2107,NCLH,costOfRevenue,439756000,249727000,200855000,206992000
2108,NCLH,totalOtherIncomeExpenseNet,-156485000,-111758000,-797100000,-160427000
2109,NCLH,discontinuedOperations,,,,
2110,NCLH,netIncomeFromContinuingOps,-845885000,-717789000,-1370192000,-738933000
2111,NCLH,netIncomeApplicableToCommonShares,-845885000,-717789000,-1370192000,-738933000
2112,NDAQ,researchDevelopment,,,,
2113,NDAQ,effectOfAccountingCharges,,,,
2114,NDAQ,incomeBeforeTax,371000000,454000000,395000000,267000000
2115,NDAQ,minorityInterest,10000000,11000000,2000000,3000000
2116,NDAQ,netIncome,288000000,342000000,298000000,225000000
2117,NDAQ,sellingGeneralAdministrative,394000000,362000000,361000000,376000000
2118,NDAQ,grossProfit,838000000,845000000,851000000,788000000
2119,NDAQ,ebit,377000000,416000000,427000000,359000000
2120,NDAQ,operatingIncome,377000000,416000000,427000000,359000000
2121,NDAQ,otherOperatingExpenses,,,,
2122,NDAQ,interestExpense,-33000000,-33000000,-29000000,-24000000
2123,NDAQ,extraordinaryItems,,,,
2124,NDAQ,nonRecurring,,,,
2125,NDAQ,otherItems,,,,
2126,NDAQ,incomeTaxExpense,83000000,112000000,97000000,42000000
2127,NDAQ,totalRevenue,1357000000,1410000000,1652000000,1462000000
2128,NDAQ,totalOperatingExpenses,980000000,994000000,1225000000,1103000000
2129,NDAQ,costOfRevenue,519000000,565000000,801000000,674000000
2130,NDAQ,totalOtherIncomeExpenseNet,-6000000,38000000,-32000000,-92000000
2131,NDAQ,discontinuedOperations,,,,
2132,NDAQ,netIncomeFromContinuingOps,288000000,342000000,298000000,225000000
